SID,bp_delta_abs_mean_W_C,bp_delta_rel_mean_W_C,bp_theta_abs_mean_W_C,bp_theta_rel_mean_W_C,bp_alpha_abs_mean_W_C,bp_alpha_rel_mean_W_C,bp_delta_abs_mean_N1_C,bp_delta_rel_mean_N1_C,bp_theta_abs_mean_N1_C,bp_theta_rel_mean_N1_C,bp_alpha_abs_mean_N1_C,bp_alpha_rel_mean_N1_C,bp_delta_abs_mean_N2_C,bp_delta_rel_mean_N2_C,bp_theta_abs_mean_N2_C,bp_theta_rel_mean_N2_C,bp_alpha_abs_mean_N2_C,bp_alpha_rel_mean_N2_C,bp_delta_abs_mean_N3_C,bp_delta_rel_mean_N3_C,bp_delta_abs_slope_N3_C,bp_theta_abs_mean_N3_C,bp_theta_rel_mean_N3_C,bp_alpha_abs_mean_N3_C,bp_alpha_rel_mean_N3_C,bp_delta_abs_mean_R_C,bp_delta_rel_mean_R_C,bp_theta_abs_mean_R_C,bp_theta_rel_mean_R_C,bp_alpha_abs_mean_R_C,bp_alpha_rel_mean_R_C
bi0064,15.887101232984946,0.30165711631041847,11.737559232383832,0.11993582278882431,11.314077250063734,0.11520847080918356,12.660290304438986,0.27846003304465056,10.251642392929538,0.16955767440657402,9.679600663877267,0.1498024576748294,17.223832400990332,0.3790551867464083,12.597352312847606,0.13488444706453695,10.800618904020608,0.09226177147818791,19.40587406350148,0.4069207692472295,-0.699012972601564,12.93772589403532,0.095980496000477,10.081902425366838,0.05103297618904313,13.99351258982331,0.29684635543196686,9.580168755106847,0.12416032439757663,7.90522358791579,0.0865491918868678
bi0065,15.769227564264707,0.25388424440338403,13.686234224498197,0.1753093815162023,12.714137711477102,0.15025504387601726,15.20264373388119,0.35794746706814295,12.86194364974894,0.2094971253258264,10.642145014896812,0.1271680711904668,17.579470416480124,0.4109495315972787,13.289406347373076,0.15816422664621774,9.931689955925746,0.07449193246480759,21.14514278257864,0.40022371419969827,0.6649343096445436,12.46716196157595,0.057288930808071376,8.661141920511065,0.02479263739044208,13.83818888772731,0.3383708723823553,11.528492645093596,0.20855247872003785,8.651743376660349,0.1067008745811572
bi0066,18.97237828719763,0.2723571840296227,18.243735811135483,0.231317555027268,16.120812123906074,0.1410367546252911,17.91694615845554,0.2868643785349989,18.448621640831494,0.324968998219531,15.344233163765567,0.161687361724124,19.630155118102728,0.33815718544215545,18.24154784798636,0.2533862404879168,14.510423572316055,0.10834389702621323,22.75141932536471,0.3930638071847642,-0.6244387410860339,16.952322715475535,0.11163583667754418,13.718041613795615,0.0520117148780038,16.682037132956385,0.3621796821591128,13.914637602344285,0.19641270950263331,11.93406475906541,0.12532377038707648
bi0068,18.44529270248459,0.31208591431683796,13.28590910294583,0.09707748504449952,13.061146175415356,0.10016060785865537,13.47097666307374,0.35402637261107645,11.230494149698922,0.21619021203084762,8.699261827947904,0.1243504643219657,17.23890592817599,0.40718253720899517,12.769373011012247,0.15652122749349534,8.24562441299008,0.060241796743204366,20.72575960531428,0.368950071279174,-0.12475993746673493,13.006084266921192,0.06525352945814747,6.911912288500278,0.016799208165736983,12.685508967795785,0.36947146008182397,9.354948587135654,0.178901244751351,6.557181904237974,0.09560981210927266
bi0070,16.28625745199448,0.34437468110226876,10.872287800258677,0.09676338621699043,11.38058407813629,0.13278577971710237,12.148309489490279,0.3048016578701606,9.122592549495959,0.15037328338625305,10.196390894070559,0.19391034687091865,17.143350209337296,0.4274539220761921,11.343101100309612,0.11445463776260198,11.920305749039136,0.13499756569385424,21.49814820757907,0.46710616500286495,0.14362580219074111,12.30194615460243,0.057138711234644646,12.024257002098306,0.054213099726054384,12.69683292549011,0.36486213862380457,8.795466876767309,0.1499707287182695,8.435964824532206,0.14097656110681497
bi0073,19.112977991280122,0.34397593264536175,13.056154444240372,0.09827443961317725,12.826531926945787,0.10643557479854873,16.005620443321124,0.3121257598934594,13.595531666939516,0.20078232336376592,12.129324346152002,0.1481722541554594,18.713526599282968,0.40800041902768647,13.648556362266268,0.13570756770843498,11.00835743030036,0.07835598279433006,20.650531827080304,0.4317633992063235,-0.11397218842699486,14.594118966884976,0.10848739701290351,11.043619770259102,0.04914298754671485,13.795133239136819,0.3731361511150828,10.275386414029505,0.17177713518490823,9.819700487049277,0.1565015032841806
bi0075,19.33548967977628,0.2407322725394524,19.731949392526715,0.29043074928406365,15.763860406380894,0.12321354124878134,17.429030992586032,0.2708992388531717,17.913354552905265,0.31314450793204424,13.346955070781151,0.10943825062553517,18.92358459686656,0.33619121651034556,16.24493481270075,0.20086882246745846,11.65282998440817,0.06906681137010523,20.80421354656303,0.31874701497206565,-0.08339785384518546,14.030446366980241,0.07202722320688233,9.888200532016768,0.02733475174918073,16.81920763954806,0.28316211781315787,17.842595391127947,0.357917908053157,13.337998418038206,0.12836597918559695
bi0077,15.219456827271827,0.2834242495388292,12.163464772680062,0.15057348587464808,11.543502748148637,0.13858536640048863,14.608897769130744,0.3379955049380166,11.941828549126667,0.1842067828894258,10.390260963648894,0.13430588704408186,18.15017862647177,0.43677949756939105,12.668393413348053,0.12696881669386817,10.472270833783302,0.08049485826649568,21.655997205502672,0.4487852636373622,-0.09901129390385738,13.506985891171887,0.06999273329446698,9.981047750134186,0.032310830057347334,13.405116246976318,0.37349570619341893,9.633052453366854,0.15875340035694596,7.609394543396205,0.10313894705968576
bi0080,21.118909452665683,0.3008436508764152,17.590758165367752,0.14383551227222097,16.23012014839254,0.10330828890337208,17.059396260885123,0.3453371841505745,15.772018153902005,0.2560270542934696,12.875279190389266,0.13229008900494357,21.036999542052346,0.5044633856176692,15.865849174073455,0.15622616496536298,13.408612285919304,0.08916919390001517,23.707961299274622,0.5597227523902387,-0.4290554877523168,16.630597965886526,0.11230349337519431,14.233860759289984,0.0650660530331286,15.864765273864409,0.3748568707441372,13.82282571678386,0.2328416498664066,10.228090579574477,0.10272990771143974
bi0084,17.21342135345274,0.28616856265794854,14.489166313725232,0.19349419129214673,12.998148032531825,0.1393582055945778,14.421503931587889,0.2841710230200647,14.141582950363984,0.28110338093367854,10.594631340334054,0.12790413088129832,16.608139822909177,0.34613982140996313,14.34713260139172,0.22575124247869585,10.287165846314567,0.09202321228734668,20.283478187535277,0.34092587694732795,0.5982739843914088,14.063985796905099,0.08451188275078608,8.830636502574272,0.025135490509515922,14.689726970048909,0.2880540894444152,12.085654108998314,0.16868305862401864,11.354536867727088,0.14907321549747107
bi0085,15.94864606662738,0.3269464508897186,10.33574118081666,0.10461251384569054,9.023905358562654,0.08235888378547891,14.970810246504417,0.4477889675201638,9.61871428200323,0.13913063127124126,6.756863245225302,0.07407829722583217,17.219928027577367,0.48856570446432124,11.31489392425675,0.13018831711879708,7.92613613653801,0.06149740716117187,,,,,,,,13.977243293595848,0.3926980077252333,8.409538543314168,0.11846301543932901,5.157931234299076,0.06080824152298093
bi0092,17.226306105324277,0.23918353248373597,15.130671160339428,0.1584217460322937,16.529701753565146,0.23100721929574783,18.055910101568756,0.3658831878786892,15.327693512249079,0.19854157291797184,13.892443914031812,0.14488530500860983,19.99962836598821,0.42589350772934303,15.423040013654706,0.15293342121195105,13.199570198024151,0.09472846968787052,21.903305570706586,0.44376194338412955,0.01834688883030656,15.601644900703482,0.10513692246578585,13.449949612333786,0.06437623435865121,16.121417212167525,0.3278962616403226,13.420804427408061,0.18062268352043456,11.996380079938065,0.13021714450491237
